name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run

ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527165968881,0.2953,7.00206427937e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8_new_pmx,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527179167942,0.2953,7.00188896768e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,

ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,7669336,0.563180683974,0.2118,4.903661011e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,

TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,111325048,301.118130066,365.46,1.09020973072e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,27104055,300.976753683,365.46,4.47994442358e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,26166070,301.013743337,365.46,4.63996843828e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,41221873,300.765863581,365.46,2.94770206659e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,

TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,8705576,71.9587329153,88.34,0.000141018592658,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,66979742,72.0426917989,88.34,1.8307287136e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTTo2L2Nu_TuneCP5up_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,5500000,72.0817586034,88.34,0.00022282777908,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTTo2L2Nu_TuneCP5down_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,5475200,72.032523749,88.34,0.000223990075412,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,

