name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527311637433,0.2953,7.00012997621E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,7669336,0.562816607786,0.2118,4.90683310326E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_v2,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v2/MINIAODSIM,5499293,0.56298804334,0.2118,6.84100526995E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,9332943,0.237305804898,0.1297,5.85616090185E-05,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,9794620,0.0568296560871,0.0313,5.62317653798E-05,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,110014744,300.770043012,365.46,1.10447115851E-05,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_new_pmx,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,43732445,300.737892932,365.46,2.77874016558E-05,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8_new_pmx,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM,20122010,300.768368381,365.46,6.03860092987E-05,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,27104055,300.704921483,365.46,4.48399421811E-05,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTToSemiLeptonic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8_new_pmx,/TTToSemiLeptonic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM,23977012,300.659594423,365.46,5.06955363261E-05,/TTToSemiLeptonic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
TTToSemiLeptonic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,26367765,300.780738643,365.46,4.60804285019E-05,/TTToSemiLeptonic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
